Chr,C2U start,C2U end,U/C,Strand
chr1,1533561,1533562,0.136986,-
chr1,1683178,1683179,0.114583,-
chr1,1684162,1684163,0.116667,-
chr1,1716768,1716769,0.109589,-
chr1,1717522,1717523,0.224138,-
chr1,1718167,1718168,0.233696,-
chr1,1718294,1718295,0.150628,-
chr1,1718404,1718405,0.262712,-
chr1,1718414,1718415,0.121739,-
chr1,1961473,1961474,0.166667,+
chr1,2116737,2116738,0.113208,+
chr1,2125311,2125312,0.208,-
chr1,2161035,2161036,0.135135,+
chr1,2238480,2238481,0.1,+
chr1,2238543,2238544,0.142857,+
chr1,2239386,2239387,0.105263,+
chr1,2240465,2240466,0.277778,+
chr1,2240784,2240785,0.1,+
chr1,2240840,2240841,0.101266,+
chr1,2319738,2319739,0.138889,-
chr1,2334618,2334619,0.12963,+
chr1,2334636,2334637,0.184713,+
chr1,2335018,2335019,0.140496,+
chr1,2335036,2335037,0.100917,+
chr1,2335075,2335076,0.10101,+
chr1,2335125,2335126,0.122581,+
chr1,2335303,2335304,0.145833,+
chr1,2335393,2335394,0.147541,+
chr1,2335444,2335445,0.101695,+
chr1,2335695,2335696,0.132353,+
chr1,2335841,2335842,0.115385,+
chr1,2336247,2336248,0.101695,+
chr1,2336574,2336575,0.152941,+
chr1,2336852,2336853,0.1,+
chr1,2336967,2336968,0.135135,-
chr1,2337077,2337078,0.1,-
chr1,2337117,2337118,0.103448,-
chr1,2440021,2440022,0.157895,-
chr1,2440034,2440035,0.125,-
chr1,2440107,2440108,0.108108,-
chr1,2440127,2440128,0.117647,-
chr1,2440177,2440178,0.105263,-
chr1,2440251,2440252,0.107692,-
chr1,2521618,2521619,0.111111,+
chr1,2522094,2522095,0.108108,+
chr1,3545391,3545392,0.134615,+
chr1,3545964,3545965,0.111111,+
chr1,3546423,3546424,0.137255,+
chr1,3546472,3546473,0.105263,+
chr1,3546602,3546603,0.113636,+
chr1,3547376,3547377,0.133333,-
chr1,3653936,3653937,0.1,-
chr1,3653981,3653982,0.108108,-
chr1,3654820,3654821,0.105263,-
chr1,3662940,3662941,0.125,-
chr1,3663114,3663115,0.122449,-
chr1,3697468,3697469,0.109589,-
chr1,3740078,3740079,0.114754,-
chr1,3742391,3742392,0.102564,-
chr1,3746514,3746515,0.145833,-
chr1,3756200,3756201,0.162791,-
chr1,3756242,3756243,0.136364,-
chr1,3756309,3756310,0.285714,-
chr1,3765233,3765234,0.189189,-
chr1,3768920,3768921,0.104167,-
chr1,3801802,3801803,0.1,+
chr1,3806487,3806488,0.117647,-
chr1,3806547,3806548,0.1,-
chr1,6245171,6245172,0.116279,-
chr1,6245806,6245807,0.10274,-
chr1,6246106,6246107,0.212598,-
chr1,6246117,6246118,0.142857,-
chr1,6281482,6281483,0.108911,-
chr1,6282507,6282508,0.114943,-
chr1,6283645,6283646,0.125,-
chr1,6283647,6283648,0.178344,-
chr1,6283716,6283717,0.153285,-
chr1,6283939,6283940,0.177632,-
chr1,6284063,6284064,0.157233,-
chr1,6284081,6284082,0.114286,-
chr1,6284161,6284162,0.134921,-
chr1,6284232,6284233,0.114286,-
chr1,6284647,6284648,0.18254,-
chr1,6284683,6284684,0.267327,-
chr1,6284706,6284707,0.150289,-
chr1,6284846,6284847,0.120567,-
chr1,6284938,6284939,0.170068,-
chr1,6285008,6285009,0.165746,-
chr1,6285024,6285025,0.113095,-
chr1,6285138,6285139,0.114943,-
chr1,6285223,6285224,0.15625,-
chr1,6285278,6285279,0.115646,-
chr1,6324489,6324490,0.123596,-
chr1,6324558,6324559,0.116279,-
chr1,6324594,6324595,0.132867,-
chr1,6585338,6585339,0.1,-
chr1,6649265,6649266,0.121622,+
chr1,6681697,6681698,0.27,+
chr1,6681858,6681859,0.178082,+
chr1,6682126,6682127,0.139535,+
chr1,6682301,6682302,0.111111,+
chr1,6683296,6683297,0.111111,+
chr1,6683616,6683617,0.113208,+
chr1,6693002,6693003,0.288136,+
chr1,6693273,6693274,0.113208,+
chr1,6695219,6695220,0.128571,-
chr1,6695678,6695679,0.118812,-
chr1,6931895,6931896,0.102564,+
chr1,6947885,6947886,0.155556,+
chr1,6947919,6947920,0.146341,+
chr1,7828334,7828335,0.121212,+
chr1,7828737,7828738,0.16129,+
chr1,7839751,7839752,0.147826,+
chr1,7840874,7840875,0.131579,+
chr1,7841233,7841234,0.139535,+
chr1,8030974,8030975,0.103627,+
chr1,8037781,8037782,0.104712,+
chr1,8045135,8045136,0.119658,+
chr1,8045185,8045186,0.129278,+
chr1,8045228,8045229,0.129032,+
chr1,8045231,8045232,0.131313,+
chr1,8045257,8045258,0.10443,+
chr1,8045280,8045281,0.10396,+
chr1,8072398,8072399,0.15,-
chr1,8072453,8072454,0.1,-
chr1,8073308,8073309,0.111111,-
chr1,8073469,8073470,0.103448,-
chr1,8074096,8074097,0.138889,-
chr1,8074160,8074161,0.1,-
chr1,8074266,8074267,0.12,-
chr1,8412489,8412490,0.133333,-
chr1,8928083,8928084,0.117257,-
chr1,8930535,8930536,0.105769,-
chr1,8934895,8934896,0.11215,-
chr1,9160665,9160666,0.117647,-
chr1,9640037,9640038,0.111111,+
chr1,9642444,9642445,0.118421,+
chr1,9642645,9642646,0.137255,+
chr1,9642651,9642652,0.106383,+
chr1,9642770,9642771,0.123457,+
chr1,9664458,9664459,0.16129,+
chr1,9664497,9664498,0.129032,+
chr1,9674484,9674485,0.131579,+
chr1,9740938,9740939,0.125,-
chr1,9741057,9741058,0.170732,-
chr1,9789355,9789356,0.146067,-
chr1,9789949,9789950,0.101124,-
chr1,9790078,9790079,0.131579,-
chr1,9790134,9790135,0.145455,-
chr1,9790211,9790212,0.2,-
chr1,9908874,9908875,0.138889,-
chr1,9910188,9910189,0.113636,-
chr1,9910232,9910233,0.2,-
chr1,9910251,9910252,0.117647,-
chr1,9910366,9910367,0.171429,-
chr1,9989534,9989535,0.171429,-
chr1,10042478,10042479,0.1,+
chr1,10231380,10231381,0.117647,+
chr1,10240042,10240043,0.103448,+
chr1,10322018,10322019,0.102041,+
chr1,10364608,10364609,0.2,+
chr1,10364841,10364842,0.1875,+
chr1,10364986,10364987,0.102564,+
chr1,10365048,10365049,0.227273,+
chr1,10365522,10365523,0.113208,+
chr1,10365739,10365740,0.108108,+
chr1,10365917,10365918,0.1,+
chr1,10366459,10366460,0.128205,+
chr1,10367302,10367303,0.25,+
chr1,10367707,10367708,0.166667,+
chr1,10367710,10367711,0.1,+
chr1,10368042,10368043,0.179487,+
chr1,10368228,10368229,0.131579,+
chr1,10368306,10368307,0.103448,+
chr1,10368422,10368423,0.145455,+
chr1,10368425,10368426,0.12,+
chr1,10460468,10460469,0.137255,+
chr1,10479722,10479723,0.120879,+
chr1,10479896,10479897,0.112583,+
chr1,10480005,10480006,0.135338,+
chr1,10491051,10491052,0.147059,+
chr1,10494007,10494008,0.119048,+
chr1,10494015,10494016,0.125,+
chr1,10502614,10502615,0.103896,+
chr1,10516637,10516638,0.134021,-
chr1,10516716,10516717,0.158537,-
chr1,10516845,10516846,0.127273,-
chr1,10516850,10516851,0.1,-
chr1,10517035,10517036,0.16,-
chr1,10517761,10517762,0.131579,-
chr1,10517899,10517900,0.208333,-
chr1,10518326,10518327,0.138462,-
chr1,10519214,10519215,0.113475,-
chr1,10519504,10519505,0.12,-
chr1,10519671,10519672,0.163636,-
chr1,10521329,10521330,0.102564,-
chr1,10522593,10522594,0.122449,-
chr1,10522600,10522601,0.12766,-
chr1,10522864,10522865,0.104167,-
chr1,10523164,10523165,0.111111,-
chr1,11083411,11083412,0.119048,+
chr1,11083598,11083599,0.120301,+
chr1,11083706,11083707,0.175824,+
chr1,11083786,11083787,0.206349,+
chr1,11114672,11114673,0.154286,-
chr1,11114801,11114802,0.101382,-
chr1,11166609,11166610,0.30303,-
chr1,11166649,11166650,0.12069,-
chr1,11166691,11166692,0.169014,-
chr1,11166738,11166739,0.102804,-
chr1,11167087,11167088,0.120968,-
chr1,11167089,11167090,0.150794,-
chr1,11167255,11167256,0.134328,-
chr1,11167310,11167311,0.121212,-
chr1,11167494,11167495,0.242105,-
chr1,11168320,11168321,0.125,-
chr1,11307734,11307735,0.125,-
chr1,11334104,11334105,0.111111,+
chr1,11346136,11346137,0.127273,+
chr1,11346212,11346213,0.104167,+
chr1,11734799,11734800,0.112903,-
chr1,11740698,11740699,0.114286,-
chr1,11810179,11810180,0.168,+
chr1,11810413,11810414,0.215385,+
chr1,11898625,11898626,0.1,+
chr1,11979730,11979731,0.113636,-
chr1,11979757,11979758,0.133333,-
chr1,11979886,11979887,0.125,-
chr1,12034906,12034907,0.201754,+
chr1,12034912,12034913,0.1,+
chr1,12035075,12035076,0.111111,+
chr1,12035104,12035105,0.15873,+
chr1,12035407,12035408,0.134831,+
chr1,12035435,12035436,0.13,+
chr1,12035469,12035470,0.106061,+
chr1,12035509,12035510,0.101351,+
chr1,12035572,12035573,0.1,+
chr1,12072777,12072778,0.2,+
chr1,12073180,12073181,0.13,+
chr1,12073414,12073415,0.156522,+
chr1,12073459,12073460,0.144578,+
chr1,13942435,13942436,0.116279,+
chr1,13942461,13942462,0.163265,+
chr1,13942754,13942755,0.125,+
chr1,13942758,13942759,0.1875,+
chr1,14107775,14107776,0.116279,+
chr1,14108318,14108319,0.129032,+
chr1,14108624,14108625,0.153846,+
chr1,14108807,14108808,0.107143,+
chr1,14113077,14113078,0.121951,+
chr1,14113453,14113454,0.133333,+
chr1,14114039,14114040,0.108108,+
chr1,15546308,15546309,0.22,+
chr1,15736658,15736659,0.12,+
chr1,15755324,15755325,0.106796,+
chr1,15755787,15755788,0.12,+
chr1,15756508,15756509,0.193878,+
chr1,15756516,15756517,0.157895,+
chr1,15819268,15819269,0.181818,-
chr1,15894713,15894714,0.117647,+
chr1,15896699,15896700,0.1,+
chr1,15986742,15986743,0.133333,+
chr1,15986854,15986855,0.1,+
chr1,15988825,15988826,0.131579,+
chr1,15990521,15990522,0.117647,+
chr1,15990975,15990976,0.1875,+
chr1,15992017,15992018,0.1,+
chr1,15992337,15992338,0.157895,+
chr1,15992486,15992487,0.181818,+
chr1,15992861,15992862,0.148936,+
chr1,15993138,15993139,0.1,+
chr1,15993200,15993201,0.163265,+
chr1,15994292,15994293,0.125,+
chr1,15995027,15995028,0.105263,+
chr1,15995160,15995161,0.15,+
chr1,16133877,16133878,0.166667,-
chr1,16154768,16154769,0.131429,+
chr1,16154902,16154903,0.101695,+
chr1,16199449,16199450,0.122642,+
chr1,16200102,16200103,0.116279,+
chr1,16200674,16200675,0.216216,+
chr1,16200716,16200717,0.102564,+
chr1,16200766,16200767,0.155556,+
chr1,16202751,16202752,0.162162,+
chr1,16202786,16202787,0.101695,+
chr1,16202798,16202799,0.1,+
chr1,16254756,16254757,0.119565,+
chr1,16254825,16254826,0.166667,+
chr1,16254904,16254905,0.122807,+
chr1,16255068,16255069,0.113636,+
chr1,16255323,16255324,0.123288,+
chr1,16255499,16255500,0.151899,+
chr1,16256347,16256348,0.113208,+
chr1,16256732,16256733,0.116883,+
chr1,16256743,16256744,0.119048,+
chr1,16256845,16256846,0.135417,+
chr1,16256883,16256884,0.171875,+
chr1,16257030,16257031,0.191781,+
chr1,16257186,16257187,0.126984,+
chr1,16257396,16257397,0.107143,+
chr1,16259930,16259931,0.145455,+
chr1,16264102,16264103,0.1875,+
chr1,16266024,16266025,0.192857,+
chr1,16266118,16266119,0.14094,+
chr1,16266262,16266263,0.154545,+
chr1,16266278,16266279,0.184971,+
chr1,16266290,16266291,0.126316,+
chr1,16266523,16266524,0.120567,+
chr1,16266538,16266539,0.145349,+
chr1,16266622,16266623,0.222892,+
chr1,16266626,16266627,0.242775,+
chr1,16266648,16266649,0.18125,+
chr1,16266685,16266686,0.105634,+
chr1,16266713,16266714,0.123188,+
chr1,16266802,16266803,0.154639,+
chr1,16266852,16266853,0.165289,+
chr1,16266923,16266924,0.171875,+
chr1,16451373,16451374,0.15625,-
chr1,16451585,16451586,0.15625,-
chr1,16573688,16573689,0.133333,-
chr1,16573788,16573789,0.1,-
chr1,16574472,16574473,0.131579,-
chr1,16577717,16577718,0.133333,-
chr1,16721703,16721704,0.153846,+
chr1,16721747,16721748,0.106952,+
chr1,16721751,16721752,0.182292,+
chr1,16721757,16721758,0.142132,+
chr1,16721803,16721804,0.130612,+
chr1,16722260,16722261,0.151515,+
chr1,16722298,16722299,0.151786,+
chr1,16722339,16722340,0.136054,+
chr1,16722343,16722344,0.170213,+
chr1,16722491,16722492,0.155039,+
chr1,16722604,16722605,0.142857,+
chr1,16722615,16722616,0.147059,+
chr1,16722801,16722802,0.174194,+
chr1,16722889,16722890,0.156863,+
chr1,16723186,16723187,0.113043,+
chr1,16723692,16723693,0.1,+
chr1,16723717,16723718,0.123596,+
chr1,16785696,16785697,0.102564,+
chr1,16786138,16786139,0.191489,+
chr1,16786306,16786307,0.116279,+
chr1,16786330,16786331,0.116505,+
chr1,16786455,16786456,0.111111,+
chr1,16786564,16786565,0.233333,+
chr1,16888986,16888987,0.117647,-
chr1,17345374,17345375,0.117647,-
chr1,17359588,17359589,0.104762,-
chr1,17734098,17734099,0.108696,-
chr1,17734771,17734772,0.151515,-
chr1,17734911,17734912,0.243386,-
chr1,19199212,19199213,0.212121,-
chr1,19510591,19510592,0.102564,-
chr1,19525363,19525364,0.133333,-
chr1,19544502,19544503,0.105263,-
chr1,19545037,19545038,0.111111,-
chr1,19545231,19545232,0.117647,-
chr1,19545597,19545598,0.121622,-
chr1,19585320,19585321,0.102564,+
chr1,19585428,19585429,0.111588,+
chr1,19585435,19585436,0.121094,+
chr1,19585446,19585447,0.159817,+
chr1,19585450,19585451,0.116822,+
chr1,19585906,19585907,0.102273,+
chr1,19586362,19586363,0.232558,+
chr1,19586943,19586944,0.138889,+
chr1,19589955,19589956,0.131579,+
chr1,19590291,19590292,0.125,+
chr1,19630556,19630557,0.108333,-
chr1,19630558,19630559,0.177966,-
chr1,19630611,19630612,0.131944,-
chr1,19630635,19630636,0.106195,-
chr1,19652020,19652021,0.1,+
chr1,19655447,19655448,0.111111,+
chr1,19655531,19655532,0.135802,+
chr1,19665319,19665320,0.12,-
chr1,19665770,19665771,0.106509,-
chr1,19665916,19665917,0.119171,-
chr1,19665972,19665973,0.182741,-
chr1,19665988,19665989,0.120253,-
chr1,19935084,19935085,0.102941,+
chr1,19935102,19935103,0.107143,+
chr1,19952924,19952925,0.104072,+
chr1,19952955,19952956,0.190141,+
chr1,19953049,19953050,0.195833,+
chr1,19953070,19953071,0.159091,+
chr1,19953072,19953073,0.101974,+
chr1,19983618,19983619,0.1,+
chr1,20236110,20236111,0.105263,+
chr1,20238241,20238242,0.105263,+
chr1,20810017,20810018,0.111111,-
chr1,20826089,20826090,0.1125,-
chr1,20826093,20826094,0.139241,-
chr1,20826136,20826137,0.16,-
chr1,20827039,20827040,0.1,-
chr1,20964378,20964379,0.146667,+
chr1,20971007,20971008,0.125,+
chr1,20971087,20971088,0.102041,+
chr1,20977210,20977211,0.154762,+
chr1,20977582,20977583,0.111111,+
chr1,20977701,20977702,0.139535,+
chr1,20978674,20978675,0.109375,-
chr1,20978684,20978685,0.1,-
chr1,20978741,20978742,0.122363,-
chr1,20978764,20978765,0.10473,-
chr1,20978838,20978839,0.137566,-
chr1,20978898,20978899,0.145299,-
chr1,20979185,20979186,0.106061,-
chr1,20980156,20980157,0.122807,-
chr1,21070258,21070259,0.145455,-
chr1,21070620,21070621,0.116883,-
chr1,21071061,21071062,0.142857,-
chr1,21080808,21080809,0.142857,-
chr1,21133115,21133116,0.174603,-
chr1,21133538,21133539,0.117647,-
chr1,21133547,21133548,0.144928,-
chr1,21133691,21133692,0.172131,-
chr1,21154123,21154124,0.115789,-
chr1,21191734,21191735,0.103448,-
chr1,21205927,21205928,0.104651,-
chr1,21205972,21205973,0.103448,-
chr1,21226406,21226407,0.163636,-
chr1,21268416,21268417,0.104167,-
chr1,21268420,21268421,0.177778,-
chr1,21306842,21306843,0.14433,-
chr1,21501680,21501681,0.113636,-
chr1,21501968,21501969,0.1,-
chr1,21544377,21544378,0.112676,-
chr1,21544708,21544709,0.133333,-
chr1,21544768,21544769,0.112903,-
chr1,21545105,21545106,0.2,-
chr1,21545346,21545347,0.147059,-
chr1,21545436,21545437,0.135135,-
chr1,21545683,21545684,0.111111,-
chr1,21545900,21545901,0.111111,-
chr1,21545994,21545995,0.2,-
chr1,21546002,21546003,0.242857,-
chr1,21546077,21546078,0.157895,-
chr1,21546132,21546133,0.1,-
chr1,21546147,21546148,0.105263,-
chr1,21546284,21546285,0.115942,-
chr1,21546399,21546400,0.245614,-
chr1,21546465,21546466,0.135802,-
chr1,22005730,22005731,0.112245,-
chr1,22048175,22048176,0.115385,-
chr1,22357342,22357343,0.1,+
chr1,22419419,22419420,0.107692,+
chr1,22853646,22853647,0.102564,+
chr1,22855356,22855357,0.114286,+
chr1,22855361,22855362,0.117647,+
chr1,22856191,22856192,0.108108,+
chr1,22856757,22856758,0.102041,+
chr1,22903276,22903277,0.121212,+
chr1,23111045,23111046,0.121951,+
chr1,23240890,23240891,0.138889,+
chr1,23240915,23240916,0.352941,+
chr1,23407999,23408000,0.164286,+
chr1,23412118,23412119,0.1,-
chr1,23412810,23412811,0.181818,-
chr1,23414275,23414276,0.1,-
chr1,23414572,23414573,0.114286,-
chr1,23414717,23414718,0.117647,-
chr1,23636421,23636422,0.123529,-
chr1,23636498,23636499,0.1,-
chr1,23636540,23636541,0.131313,-
chr1,23636616,23636617,0.112903,-
chr1,23636858,23636859,0.107784,-
chr1,23636864,23636865,0.1375,-
chr1,23636944,23636945,0.159817,-
chr1,23636957,23636958,0.166667,-
chr1,23636968,23636969,0.105263,-
chr1,23637426,23637427,0.126531,-
chr1,23637438,23637439,0.120879,-
chr1,23637743,23637744,0.172043,-
chr1,23640063,23640064,0.121359,-
chr1,23648058,23648059,0.191781,-
chr1,23834079,23834080,0.192308,-
chr1,23834849,23834850,0.130435,-
chr1,23884452,23884453,0.116279,-
chr1,23884498,23884499,0.12987,-
chr1,23884805,23884806,0.121795,-
chr1,24019188,24019189,0.102102,+
chr1,24019192,24019193,0.115385,+
chr1,24019231,24019232,0.195652,+
chr1,24020351,24020352,0.124157,+
chr1,24021178,24021179,0.171799,+
chr1,24021181,24021182,0.105341,+
chr1,24021189,24021190,0.118926,+
chr1,24022319,24022320,0.204265,+
chr1,24022355,24022356,0.112999,+
chr1,24077736,24077737,0.137931,+
chr1,24078380,24078381,0.126582,+
chr1,24086025,24086026,0.109091,+
chr1,24087655,24087656,0.133333,+
chr1,24088402,24088403,0.147059,+
chr1,24113912,24113913,0.141791,+
chr1,24114244,24114245,0.125,+
chr1,24114317,24114318,0.209524,+
chr1,24114611,24114612,0.104651,+
chr1,24114615,24114616,0.134831,+
chr1,24114686,24114687,0.123711,+
chr1,24172057,24172058,0.21875,-
chr1,24175191,24175192,0.181818,-
chr1,24180962,24180963,0.108108,-
chr1,24288666,24288667,0.15,+
chr1,24289024,24289025,0.10989,+
chr1,24289531,24289532,0.112903,+
chr1,24289634,24289635,0.145833,+
chr1,24289695,24289696,0.104651,+
chr1,24293112,24293113,0.122642,-
chr1,24294026,24294027,0.155556,-
chr1,24294744,24294745,0.1,-
chr1,24295671,24295672,0.302326,-
chr1,24295814,24295815,0.102041,-
chr1,24296220,24296221,0.108434,-
chr1,24296245,24296246,0.189873,-
chr1,24296282,24296283,0.105769,-
chr1,24296675,24296676,0.101449,-
chr1,24297284,24297285,0.107527,-
chr1,24683580,24683581,0.162791,-
chr1,24684673,24684674,0.122449,-
chr1,24684690,24684691,0.1,-
chr1,24696235,24696236,0.159091,-
chr1,24700259,24700260,0.1875,-
chr1,24706229,24706230,0.133333,-
chr1,24798749,24798750,0.108108,+
chr1,24798937,24798938,0.173913,+
chr1,24799040,24799041,0.138889,+
chr1,24799376,24799377,0.15625,+
chr1,25167594,25167595,0.166667,+
chr1,25167958,25167959,0.172414,+
chr1,25168383,25168384,0.1875,+
chr1,25169652,25169653,0.114286,+
chr1,25169950,25169951,0.155556,+
chr1,25169998,25169999,0.135593,+
chr1,25170223,25170224,0.111111,+
chr1,25170250,25170251,0.125,+
chr1,25226288,25226289,0.125,-
chr1,25549331,25549332,0.155172,-
chr1,25549638,25549639,0.141026,-
chr1,25553945,25553946,0.128205,-
chr1,25687183,25687184,0.158273,+
chr1,25687251,25687252,0.187845,+
chr1,25687258,25687259,0.132075,+
chr1,25687417,25687418,0.108696,+
chr1,25687584,25687585,0.181818,+
chr1,25687695,25687696,0.15,+
chr1,25773289,25773290,0.108108,+
chr1,25785225,25785226,0.216216,+
chr1,25818009,25818010,0.109375,+
chr1,25893502,25893503,0.264151,+
chr1,25893849,25893850,0.111111,+
chr1,25894071,25894072,0.121951,+
chr1,25894093,25894094,0.121212,+
chr1,25894390,25894391,0.2,+
chr1,25894417,25894418,0.205882,+
chr1,25895015,25895016,0.105263,+
chr1,26135604,26135605,0.122642,+
chr1,26142514,26142515,0.189189,+
chr1,26143075,26143076,0.189873,+
chr1,26143133,26143134,0.138889,+
chr1,26143177,26143178,0.101562,+
chr1,26158517,26158518,0.2,+
chr1,26158839,26158840,0.242424,+
chr1,26158876,26158877,0.205128,+
chr1,26158878,26158879,0.121951,+
chr1,26159004,26159005,0.107692,+
chr1,26159138,26159139,0.101449,+
chr1,26159283,26159284,0.175,+
chr1,26159332,26159333,0.2,+
chr1,26161147,26161148,0.116279,-
chr1,26162078,26162079,0.12,-
chr1,26226651,26226652,0.102564,-
chr1,26227135,26227136,0.144638,-
chr1,26227488,26227489,0.206983,-
chr1,26227509,26227510,0.103659,-
chr1,26287646,26287647,0.147059,-
chr1,26449115,26449116,0.105263,+
chr1,26450104,26450105,0.133333,+
chr1,26450982,26450983,0.193548,+
chr1,26451063,26451064,0.195122,+
chr1,26451618,26451619,0.179487,+
chr1,26497252,26497253,0.25098,+
chr1,26497323,26497324,0.11811,+
chr1,26497355,26497356,0.15,+
chr1,26604422,26604423,0.108434,+
chr1,26605064,26605065,0.152174,+
chr1,26607803,26607804,0.147368,+
chr1,26797142,26797143,0.148148,+
chr1,26797282,26797283,0.16,+
chr1,26801780,26801781,0.118852,+
chr1,26802006,26802007,0.10536,+
chr1,26802036,26802037,0.104938,+
chr1,26802916,26802917,0.138889,+
chr1,26802918,26802919,0.138889,+
chr1,26901030,26901031,0.1,+
chr1,27101258,27101259,0.145455,+
chr1,27101411,27101412,0.102564,+
chr1,27105840,27105841,0.113636,+
chr1,27106658,27106659,0.102041,+
chr1,27106761,27106762,0.11215,+
chr1,27107150,27107151,0.102041,+
chr1,27107308,27107309,0.159091,+
chr1,27107502,27107503,0.155963,+
chr1,27107732,27107733,0.146341,+
chr1,27108127,27108128,0.146552,+
chr1,27108184,27108185,0.104167,+
chr1,27108461,27108462,0.1875,+
chr1,27159062,27159063,0.115385,+
chr1,27181010,27181011,0.171429,+
chr1,27181136,27181137,0.268293,+
chr1,27181183,27181184,0.1,+
chr1,27181191,27181192,0.131148,+
chr1,27181194,27181195,0.227273,+
chr1,27181467,27181468,0.247788,+
chr1,27203026,27203027,0.102941,-
chr1,27205089,27205090,0.102564,-
chr1,27205436,27205437,0.139535,-
chr1,27223971,27223972,0.181818,-
chr1,27273038,27273039,0.147059,+
chr1,27425741,27425742,0.176471,-
chr1,27622835,27622836,0.166667,+
chr1,27627857,27627858,0.130435,+
chr1,27632905,27632906,0.174603,+
chr1,27731124,27731125,0.112903,-
chr1,27731142,27731143,0.169492,-
chr1,27731194,27731195,0.192982,-
chr1,27731215,27731216,0.116883,-
chr1,27731229,27731230,0.163636,-
chr1,27731316,27731317,0.122807,-
chr1,27732546,27732547,0.120879,-
chr1,27733040,27733041,0.107143,-
chr1,27733437,27733438,0.153846,-
chr1,27733745,27733746,0.112903,-
chr1,27734097,27734098,0.108108,-
chr1,27734187,27734188,0.111111,-
chr1,27875512,27875513,0.1,-
chr1,28065826,28065827,0.134615,+
chr1,28065890,28065891,0.118519,+
chr1,28087869,28087870,0.1,+
chr1,28088843,28088844,0.131579,+
chr1,28089477,28089478,0.15625,+
chr1,28148832,28148833,0.113924,+
chr1,28149999,28150000,0.109589,+
chr1,28176811,28176812,0.104575,+
chr1,28177270,28177271,0.107692,+
chr1,28177359,28177360,0.134146,+
chr1,28177537,28177538,0.100775,+
chr1,28177562,28177563,0.12069,+
chr1,28177703,28177704,0.125,+
chr1,28218155,28218156,0.147368,-
chr1,28218225,28218226,0.126126,-
chr1,28218329,28218330,0.147186,-
chr1,28218429,28218430,0.136842,-
chr1,28218468,28218469,0.212598,-
chr1,28218524,28218525,0.135678,-
chr1,28220816,28220817,0.148148,-
chr1,28285570,28285571,0.105263,+
chr1,28285584,28285585,0.294118,+
chr1,28293218,28293219,0.162162,+
chr1,28293988,28293989,0.25,+
chr1,28294118,28294119,0.27451,+
chr1,28297482,28297483,0.1,-
chr1,28298974,28298975,0.103448,-
chr1,28299378,28299379,0.108696,-
chr1,28300170,28300171,0.16,-
chr1,28527680,28527681,0.119048,-
chr1,28563136,28563137,0.1875,+
chr1,28563774,28563775,0.12,+
chr1,28563958,28563959,0.123288,+
chr1,28563996,28563997,0.190476,+
chr1,28600655,28600656,0.12963,+
chr1,28607470,28607471,0.11215,+
chr1,28607492,28607493,0.183673,+
chr1,28607536,28607537,0.191882,+
chr1,28607581,28607582,0.415205,+
chr1,28607712,28607713,0.355072,+
chr1,28607958,28607959,0.102564,+
chr1,28608353,28608354,0.10241,+
chr1,28608542,28608543,0.133333,+
chr1,28608626,28608627,0.161435,+
