PeakID (cmd=annotatePeaks.pl hek293.abcam.CIMS.m6A.9536.bed hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
B045_1-4_chr1_r_c939[k=211][m=20]_GGACC,chr1,59247436,59247436,-,20,NA,"3' UTR (NM_002228, exon 1 of 1)","3' UTR (NM_002228, exon 1 of 1)",-2349,NM_002228,3725,Hs.696684,NM_002228,ENSG00000177606,JUN,AP-1|AP1|c-Jun,jun proto-oncogene,protein-coding
B045_1-4_chr19_r_c240[k=77][m=19]_GAACA,chr19,3976161,3976161,-,19,NA,"3' UTR (NM_001961, exon 15 of 15)","3' UTR (NM_001961, exon 15 of 15)",6335,NM_001348,1613,Hs.631844,XM_005259508,ENSG00000167657,DAPK3,ZIP|ZIPK,death-associated protein kinase 3,protein-coding
B045_1-4_chrX_r_c414[k=198][m=18]_GGACT,chrX,73046887,73046887,-,18,NA,"non-coding (NR_003255, exon 1 of 1)","non-coding (NR_003255, exon 1 of 1)",-25701,NR_001564,7503,Hs.655450,NR_001564,ENSG00000229807,XIST,DXS1089|DXS399E|LINC00001|NCRNA00001|SXI1|swd66,X inactive specific transcript (non-protein coding),ncRNA
B045_1-4_chr6_r_c178[k=97][m=18]_GGACT,chr6,24706164,24706164,-,18,NA,TTS (NM_001160094),TTS (NM_001160094),-13239,NM_030939,81688,Hs.744857,XM_005249433,C6orf62,Nbla00237|XTP12|dJ30M3.2,chromosome 6 open reading frame 62,protein-coding,
B045_1-4_chrY_f_c43[k=899][m=18]_ACACT,chrY,10037859,10037859,+,18,NA,Intergenic,Intergenic,289452,NR_003593,100101121,Hs.744834,XR_244578,TTTY23B,TTTY23,"testis-specific transcript, Y-linked 23B (non-protein coding)",ncRNA,
B045_1-4_chr19_r_c263[k=221][m=18]_AGACT,chr19,3976466,3976466,-,18,NA,"3' UTR (NM_001961, exon 15 of 15)","3' UTR (NM_001961, exon 15 of 15)",-6104,NR_002602,26812,NR_002602,SNORD37,RNU37|U37,"small nucleolar RNA, C/D box 37",snoRNA,,
B045_1-4_chrY_f_c42[k=1122][m=17]_CGACA,chrY,10037857,10037857,+,17,NA,Intergenic,Intergenic,289450,NR_003593,100101121,Hs.744834,XR_244578,TTTY23B,TTTY23,"testis-specific transcript, Y-linked 23B (non-protein coding)",ncRNA,
B045_1-4_chrM_f_c132[k=337][m=17]_GTACA,chrM,2853,2853,+,17,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr1_r_c11[k=97][m=16]_AGACT,chr1,934375,934375,-,16,NA,TTS (NM_021170),TTS (NM_021170),-1177,NM_001142467,57801,Hs.154029,XM_005244771,ENSG00000188290,HES4,bHLHb42,hes family bHLH transcription factor 4,protein-coding
B045_1-4_chr4_r_c833[k=55][m=16]_GTACC,chr4,156897106,156897106,-,16,NA,Intergenic,Intergenic,22058,NM_001334,1519,Hs.75262,NM_001334,ENSG00000256043,CTSO,CTSO1,cathepsin O,protein-coding
B045_1-4_chrX_r_c355[k=186][m=16]_GAACA,chrX,73040821,73040821,-,16,NA,"non-coding (NR_003255, exon 1 of 1)","non-coding (NR_003255, exon 1 of 1)",-28781,NR_003255,9383,Hs.529901,NR_003255,ENSG00000270641,TSIX,LINC00013|NCRNA00013|XIST-AS|XIST-AS1|XISTAS,"TSIX transcript, XIST antisense RNA",ncRNA
B045_1-4_chr2_f_c189[k=86][m=16]_GGACT,chr2,27678767,27678767,+,16,NA,"intron (NM_015662, intron 30 of 47)","intron (NM_015662, intron 30 of 47)",13534,NM_173853,200634,Hs.59509,XM_005264197,ENSG00000157992,KRTCAP3,KCP3|MRV222|PRO9898,keratinocyte associated protein 3,protein-coding
B045_1-4_chr12_r_c327[k=30][m=15]_GGACT,chr12,49332764,49332764,-,15,NA,"exon (NM_001659, exon 5 of 5)","exon (NM_001659, exon 5 of 5)",13434,NM_016594,51303,Hs.655103,XM_005268950,ENSG00000134285,FKBP11,FKBP19,"FK506 binding protein 11, 19 kDa",protein-coding
B045_1-4_chr17_r_c1284[k=154][m=15]_GGACT,chr17,79477711,79477711,-,15,NA,"non-coding (NR_037688, exon 6 of 7)","non-coding (NR_037688, exon 6 of 7)",-2181,NR_037688,71,Hs.713764,NM_001199954,ENSG00000184009,ACTG1,ACT|ACTG|BRWS2|DFNA20|DFNA26,"actin, gamma 1",protein-coding
B045_1-4_chr19_r_c270[k=48][m=15]_AGACC,chr19,3976617,3976617,-,15,NA,"exon (NM_001961, exon 15 of 15)","exon (NM_001961, exon 15 of 15)",-5953,NR_002602,26812,NR_002602,SNORD37,RNU37|U37,"small nucleolar RNA, C/D box 37",snoRNA,,
B045_1-4_chrX_r_c412[k=85][m=15]_GGACA,chrX,73046722,73046722,-,15,NA,"non-coding (NR_003255, exon 1 of 1)","non-coding (NR_003255, exon 1 of 1)",-25866,NR_001564,7503,Hs.655450,NR_001564,ENSG00000229807,XIST,DXS1089|DXS399E|LINC00001|NCRNA00001|SXI1|swd66,X inactive specific transcript (non-protein coding),ncRNA
B045_1-4_chr4_r_c584[k=119][m=15]_GGACT,chr4,100869544,100869544,-,15,NA,"3' UTR (NM_002106, exon 5 of 5)","3' UTR (NM_002106, exon 5 of 5)",1661,NM_001278310,79982,Hs.713654,XM_005263234,ENSG00000164031,DNAJB14,EGNR9427|PRO34683,"DnaJ (Hsp40) homolog, subfamily B, member 14",protein-coding
B045_1-4_chr10_f_c481[k=65][m=15]_TGACT,chr10,75542968,75542968,+,15,NA,"3' UTR (NM_203298, exon 3 of 3)","3' UTR (NM_203298, exon 3 of 3)",1160,NM_203298,118487,Hs.181174,NM_203298,ENSG00000172586,CHCHD1,C10orf34|C2360|MRP-S37,coiled-coil-helix-coiled-coil-helix domain containing 1,protein-coding
B045_1-4_chr14_r_c733[k=87][m=14]_AGACT,chr14,103986086,103986086,-,14,NA,TTS (NM_001823),TTS (NM_001823),-3110,NM_001823,1152,Hs.173724,NM_001823,ENSG00000166165,CKB,B-CK|BCK|CKBB|HEL-S-29,"creatine kinase, brain",protein-coding
B045_1-4_chr17_f_c740[k=113][m=14]_GGACT,chr17,48829874,48829874,+,14,NA,"3' UTR (NM_006107, exon 11 of 11)","3' UTR (NM_006107, exon 11 of 11)",15002,NR_073199,55018,Hs.389460,XR_243667,ENSG00000167117,LINC00483,C17orf73,long intergenic non-protein coding RNA 483,ncRNA
B045_1-4_chr16_f_c506[k=33][m=14]_GGACC,chr16,29819065,29819065,+,14,NA,"exon (NM_002383, exon 2 of 5)","exon (NM_002383, exon 2 of 5)",1207,NM_001276276,4150,Hs.23650,NM_001042539,ENSG00000103495,MAZ,PUR1|Pur-1|SAF-1|SAF-2|SAF-3|ZF87|ZNF801|Zif87,MYC-associated zinc finger protein (purine-binding transcription factor),protein-coding
B045_1-4_chr10_r_c478[k=54][m=14]_AAACT,chr10,77158798,77158798,-,14,NA,"exon (NM_032772, exon 2 of 2)","exon (NM_032772, exon 2 of 2)",2488,NR_024421,100131213,Hs.534598,NR_024421,ZNF503-AS2,C10orf41|NCRNA00245,ZNF503 antisense RNA 2,ncRNA,
B045_1-4_chrX_r_c391[k=75][m=14]_GGACT,chrX,73045818,73045818,-,14,NA,"non-coding (NR_003255, exon 1 of 1)","non-coding (NR_003255, exon 1 of 1)",-26770,NR_001564,7503,Hs.655450,NR_001564,ENSG00000229807,XIST,DXS1089|DXS399E|LINC00001|NCRNA00001|SXI1|swd66,X inactive specific transcript (non-protein coding),ncRNA
B045_1-4_chr8_f_c205[k=38][m=13]_GGACC,chr8,37554727,37554727,+,13,NA,"exon (NM_025069, exon 2 of 2)","exon (NM_025069, exon 2 of 2)",1426,NM_025069,80139,Hs.744591,NM_025069,ZNF703,ZEPPO1|ZNF503L|ZPO1,zinc finger protein 703,protein-coding,
B045_1-4_chr14_f_c489[k=41][m=13]_TAACT,chr14,77935690,77935690,+,13,NA,"3' UTR (NM_012111, exon 9 of 9)","3' UTR (NM_012111, exon 9 of 9)",11317,NM_012111,10598,Hs.204041,XM_005267271,ENSG00000100591,AHSA1,AHA1|C14orf3|p38,"AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)",protein-coding
B045_1-4_chr1_r_c13[k=44][m=13]_AGACT,chr1,934423,934423,-,13,NA,TTS (NM_021170),TTS (NM_021170),-1129,NM_001142467,57801,Hs.154029,XM_005244771,ENSG00000188290,HES4,bHLHb42,hes family bHLH transcription factor 4,protein-coding
B045_1-4_chr19_f_c1002[k=56][m=13]_GGACA,chr19,42373807,42373807,+,13,NA,TTS (NR_106855),TTS (NR_106855),110,NR_106855,102465478,NR_106855,MIR6797,hsa-mir-6797,microRNA mir-6797,ncRNA,,
B045_1-4_chrX_r_c410[k=200][m=13]_AGACT,chrX,73046697,73046697,-,13,NA,"non-coding (NR_003255, exon 1 of 1)","non-coding (NR_003255, exon 1 of 1)",-25891,NR_001564,7503,Hs.655450,NR_001564,ENSG00000229807,XIST,DXS1089|DXS399E|LINC00001|NCRNA00001|SXI1|swd66,X inactive specific transcript (non-protein coding),ncRNA
B045_1-4_chrX_r_c500[k=53][m=13]_GAACA,chrX,73072478,73072478,-,13,NA,"non-coding (NR_001564, exon 1 of 6)","non-coding (NR_001564, exon 1 of 6)",-110,NR_001564,7503,Hs.655450,NR_001564,ENSG00000229807,XIST,DXS1089|DXS399E|LINC00001|NCRNA00001|SXI1|swd66,X inactive specific transcript (non-protein coding),ncRNA
B045_1-4_chrM_f_c66[k=452][m=13]_CAACA,chrM,2216,2216,+,13,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr6_f_c427[k=64][m=13]_GGACA,chr6,32948726,32948726,+,13,NA,"non-coding (NR_037625, exon 14 of 14).2","non-coding (NR_037625, exon 14 of 14).2",7865,NM_001199456,6046,Hs.75243,XM_005249263,ENSG00000204256,BRD2,D6S113E|FSH|FSRG1|NAT|RING3|RNF3,bromodomain containing 2,protein-coding
B045_1-4_chr22_f_c354[k=63][m=13]_GGACA,chr22,38202324,38202324,+,13,NA,"3' UTR (NM_005318, exon 1 of 1)","3' UTR (NM_005318, exon 1 of 1)",1210,NM_005318,3005,Hs.745024,NM_005318,ENSG00000189060,H1F0,H10|H1FV,"H1 histone family, member 0",protein-coding
B045_1-4_chr2_r_c148[k=46][m=13]_GGACT,chr2,24290608,24290608,-,13,NA,"3' UTR (NM_016047, exon 4 of 4)","3' UTR (NM_016047, exon 4 of 4)",-8706,NM_016047,51639,Hs.177861,NM_016047,ENSG00000115128,SF3B14,HSPC175|Ht006|P14|SAP14|SF3B14a,"splicing factor 3B, 14 kDa subunit",protein-coding
B045_1-4_chr2_f_c1409[k=69][m=13]_GGACG,chr2,217364747,217364747,+,13,NA,"exon (NM_000998, exon 3 of 4)","exon (NM_000998, exon 3 of 4)",1227,NM_000998,6168,Hs.433701,NM_000998,RPL37A,L37A,ribosomal protein L37a,protein-coding,
B045_1-4_chr6_r_c440[k=90][m=13]_GGACT,chr6,38644989,38644989,-,13,NA,"3' UTR (NM_006708, exon 6 of 6)","3' UTR (NM_006708, exon 6 of 6)",-25963,NM_006708,2739,Hs.268849,XM_005249012,ENSG00000124767,GLO1,GLOD1|GLYI,glyoxalase I,protein-coding
B045_1-4_chr19_r_c253[k=143][m=12]_TAACA,chr19,3976397,3976397,-,12,NA,"3' UTR (NM_001961, exon 15 of 15)","3' UTR (NM_001961, exon 15 of 15)",-6173,NR_002602,26812,NR_002602,SNORD37,RNU37|U37,"small nucleolar RNA, C/D box 37",snoRNA,,
B045_1-4_chrM_f_c137[k=510][m=12]_CTACT,chrM,2885,2885,+,12,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr3_r_c306[k=28][m=12]_GGACA,chr3,47125601,47125601,-,12,NA,"exon (NM_014159, exon 12 of 21)","exon (NM_014159, exon 12 of 21)",-72569,NR_024046,100129354,Hs.201522,NR_024046,NRADDP,0,"neurotrophin receptor associated death domain, pseudogene",pseudo,
B045_1-4_chr17_r_c1330[k=56][m=12]_GGACA,chr17,79801425,79801425,-,12,NA,"3' UTR (NM_000918, exon 11 of 11)","3' UTR (NM_000918, exon 11 of 11)",8499,NM_001007533,116729,Hs.454720,NM_001007533,ENSG00000182676,PPP1R27,DYSFIP1,"protein phosphatase 1, regulatory subunit 27",protein-coding
B045_1-4_chr19_f_c518[k=39][m=12]_GGACT,chr19,13054750,13054750,+,12,NA,"3' UTR (NM_004343, exon 9 of 9)","3' UTR (NM_004343, exon 9 of 9)",-1878,NM_001270362,5886,Hs.643267,XM_005260014,ENSG00000179262,RAD23A,HHR23A|HR23A,RAD23 homolog A (S. cerevisiae),protein-coding
B045_1-4_chr12_f_c1067[k=88][m=12]_AGACT,chr12,131360720,131360720,+,12,NA,"3' UTR (NM_006325, exon 7 of 7)","3' UTR (NM_006325, exon 7 of 7)",4103,NM_006325,5901,Hs.10842,XM_005253592,RAN,ARA24|Gsp1|TC4,"RAN, member RAS oncogene family",protein-coding,
B045_1-4_chr1_r_c1100[k=39][m=12]_TGACA,chr1,82174025,82174025,-,12,NA,Intergenic,Intergenic,92057,NM_012302,23266,Hs.649282,XM_005270666,ENSG00000117114,LPHN2,CIRL2|CL2|LEC1|LPHH1,latrophilin 2,protein-coding
B045_1-4_chrX_r_c350[k=452][m=12]_GAACT,chrX,73040660,73040660,-,12,NA,"non-coding (NR_003255, exon 1 of 1)","non-coding (NR_003255, exon 1 of 1)",-28620,NR_003255,9383,Hs.529901,NR_003255,ENSG00000270641,TSIX,LINC00013|NCRNA00013|XIST-AS|XIST-AS1|XISTAS,"TSIX transcript, XIST antisense RNA",ncRNA
B045_1-4_chrX_r_c409[k=336][m=12]_TGACA,chrX,73046690,73046690,-,12,NA,"non-coding (NR_003255, exon 1 of 1)","non-coding (NR_003255, exon 1 of 1)",-25898,NR_001564,7503,Hs.655450,NR_001564,ENSG00000229807,XIST,DXS1089|DXS399E|LINC00001|NCRNA00001|SXI1|swd66,X inactive specific transcript (non-protein coding),ncRNA
B045_1-4_chr7_r_c81[k=118][m=12]_GGACT,chr7,5567164,5567164,-,12,NA,"3' UTR (NM_001101, exon 6 of 6)","3' UTR (NM_001101, exon 6 of 6)",-3068,NM_001101,60,Hs.520640,XM_005249818,ENSG00000075624,ACTB,BRWS1|PS1TP5BP1,"actin, beta",protein-coding
B045_1-4_chr12_r_c350[k=36][m=12]_AGACG,chr12,49521673,49521673,-,12,NA,"3' UTR (NM_006082, exon 4 of 4)","3' UTR (NM_006082, exon 4 of 4)",-3631,NM_006082,10376,Hs.524390,XM_005268564,ENSG00000123416,TUBA1B,K-ALPHA-1,"tubulin, alpha 1b",protein-coding
B045_1-4_chrM_f_c99[k=505][m=11]_CAACA,chrM,2432,2432,+,11,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr15_r_c450[k=60][m=11]_GGACT,chr15,75932025,75932025,-,11,NA,"exon (NM_018285, exon 1 of 1)","exon (NM_018285, exon 1 of 1)",-639,NM_018285,55272,Hs.513043,XM_005254534,ENSG00000177971,IMP3,BRMS2|C15orf12|MRPS4,"IMP3, U3 small nucleolar ribonucleoprotein, homolog (yeast)",protein-coding
B045_1-4_chr19_r_c19[k=28][m=11]_GGACG,chr19,647822,647822,-,11,NA,"3' UTR (NM_194460, exon 9 of 9)","3' UTR (NM_194460, exon 9 of 9)",-7896,NM_020637,27006,Hs.248087,XM_005259538,ENSG00000070388,FGF22,0,fibroblast growth factor 22,protein-coding
B045_1-4_chrX_r_c689[k=72][m=11]_GGACT,chrX,107965604,107965604,-,11,NA,Intergenic,Intergenic,-14003,NM_003604,8471,Hs.460872,XM_005262220,ENSG00000133124,IRS4,IRS-4|PY160,insulin receptor substrate 4,protein-coding
B045_1-4_chr1_f_c134[k=30][m=11]_AGACT,chr1,8045110,8045110,+,11,NA,"exon (NM_007262, exon 7 of 7)","exon (NM_007262, exon 7 of 7)",23396,NM_001123377,11315,Hs.419640,XM_005263424,ENSG00000116288,PARK7,DJ-1|DJ1|HEL-S-67p,parkinson protein 7,protein-coding
B045_1-4_chrX_r_c483[k=33][m=11]_GGACA,chrX,73071077,73071077,-,11,NA,"non-coding (NR_001564, exon 1 of 6)","non-coding (NR_001564, exon 1 of 6)",-1511,NR_001564,7503,Hs.655450,NR_001564,ENSG00000229807,XIST,DXS1089|DXS399E|LINC00001|NCRNA00001|SXI1|swd66,X inactive specific transcript (non-protein coding),ncRNA
B045_1-4_chr11_f_c654[k=51][m=11]_GGACT,chr11,65267747,65267747,+,11,NA,"non-coding (NR_002819, exon 1 of 1)","non-coding (NR_002819, exon 1 of 1)",2514,NR_002819,378938,Hs.642877,XR_247199,ENSG00000251562,MALAT1,HCN|LINC00047|MALAT-1|NCRNA00047|NEAT2|PRO2853|mascRNA,metastasis associated lung adenocarcinoma transcript 1 (non-protein coding),ncRNA
B045_1-4_chr11_r_c1014[k=62][m=11]_GGACT,chr11,111955986,111955986,-,11,NA,TTS (NM_001082969),TTS (NM_001082969),-1536,NM_012459,26521,Hs.279915,NM_012459,ENSG00000150779,TIMM8B,DDP2|TIM8B,translocase of inner mitochondrial membrane 8 homolog B (yeast),protein-coding
B045_1-4_chr2_f_c224[k=36][m=10]_AAACT,chr2,29169678,29169678,+,10,NA,"3' UTR (NM_015131, exon 18 of 18)","3' UTR (NM_015131, exon 18 of 18)",19745,NR_002741,26796,NR_002741,SNORD53,RNU53|U53,"small nucleolar RNA, C/D box 53",snoRNA,,
B045_1-4_chr16_f_c622[k=30][m=10]_AGACT,chr16,30785897,30785897,+,10,NA,"3' UTR (NM_001207033, exon 20 of 20)","3' UTR (NM_001207033, exon 20 of 20)",12287,NM_001286572,9810,Hs.65238,XM_005255727,ENSG00000103549,RNF40,BRE1B|RBP95|STARING,"ring finger protein 40, E3 ubiquitin protein ligase",protein-coding
B045_1-4_chrM_f_c32[k=375][m=10]_AAACT,chrM,1386,1386,+,10,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr6_f_c394[k=165][m=10]_GGACT,chr6,31797691,31797691,+,10,NA,"3' UTR (NM_005346, exon 1 of 1).5","3' UTR (NM_005346, exon 1 of 1).5",2179,NM_005346,3304,Hs.719966,XM_005249069,ENSG00000204388,HSPA1B,HSP70-1B|HSP70-2,heat shock 70kDa protein 1B,protein-coding
B045_1-4_chr6_f_c36[k=40][m=10]_GGACT,chr6,1612818,1612818,+,10,NA,"3' UTR (NM_001453, exon 1 of 1)","3' UTR (NM_001453, exon 1 of 1)",2137,NM_001453,2296,Hs.348883,NM_001453,ENSG00000054598,FOXC1,ARA|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3,forkhead box C1,protein-coding
B045_1-4_chr22_r_c401[k=46][m=10]_AGACT,chr22,38882337,38882337,-,10,NA,"exon (NM_006386, exon 13 of 13)","exon (NM_006386, exon 13 of 13)",-18270,NM_006855,11015,Hs.745072,NM_006855,ENSG00000100196,KDELR3,ERD2L3,KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3,protein-coding
B045_1-4_chr19_r_c550[k=29][m=10]_AGACT,chr19,10943611,10943611,-,10,NA,"non-coding (NR_104015, exon 4 of 4)","non-coding (NR_104015, exon 4 of 4)",-2805,NR_104015,11018,Hs.661691,NM_006858,TMED1,IL1RL1LG|Il1rl1l|Tp24,transmembrane emp24 protein transport domain containing 1,protein-coding,
B045_1-4_chrM_f_c123[k=632][m=10]_TAACA,chrM,2767,2767,+,10,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr14_r_c57[k=51][m=10]_GGACA,chr14,23495241,23495241,-,10,NA,"3' UTR (NM_001130725, exon 3 of 3)","3' UTR (NM_001130725, exon 3 of 3)",-9113,NM_001144932,5693,Hs.422990,XM_005267871,ENSG00000100804,PSMB5,LMPX|MB1|X,"proteasome (prosome, macropain) subunit, beta type, 5",protein-coding
B045_1-4_chr5_f_c313[k=28][m=10]_GGACA,chr5,65474875,65474875,+,10,NA,"3' UTR (NM_001077199, exon 12 of 12)","3' UTR (NM_001077199, exon 12 of 12)",34212,NM_139168,140890,Hs.49367,XM_005248439,ENSG00000153914,SREK1,SFRS12|SRrp508|SRrp86,splicing regulatory glutamine/lysine-rich protein 1,protein-coding
B045_1-4_chr4_f_c326[k=21][m=10]_AGACT,chr4,42088233,42088233,+,10,NA,"3' UTR (NM_006345, exon 18 of 18)","3' UTR (NM_006345, exon 18 of 18)",66662,NM_207406,389206,Hs.120591,NM_001159547,ENSG00000188848,BEND4,CCDC4,BEN domain containing 4,protein-coding
B045_1-4_chrM_f_c153[k=418][m=10]_TCACA,chrM,3157,3157,+,10,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr22_f_c351[k=30][m=10]_GGACA,chr22,38202158,38202158,+,10,NA,"3' UTR (NM_005318, exon 1 of 1)","3' UTR (NM_005318, exon 1 of 1)",1044,NM_005318,3005,Hs.745024,NM_005318,ENSG00000189060,H1F0,H10|H1FV,"H1 histone family, member 0",protein-coding
B045_1-4_chr2_f_c495[k=94][m=10]_TGACT,chr2,70314912,70314912,+,10,NA,promoter-TSS (NR_033872),promoter-TSS (NR_033872),327,NM_006196,5093,Hs.2853,XM_005264341,ENSG00000169564,PCBP1,HEL-S-85|HNRPE1|HNRPX|hnRNP-E1|hnRNP-X,poly(rC) binding protein 1,protein-coding
B045_1-4_chr19_r_c266[k=122][m=9]_GGACT,chr19,3976518,3976518,-,9,NA,"3' UTR (NM_001961, exon 15 of 15)","3' UTR (NM_001961, exon 15 of 15)",-6052,NR_002602,26812,NR_002602,SNORD37,RNU37|U37,"small nucleolar RNA, C/D box 37",snoRNA,,
B045_1-4_chr2_r_c1028[k=19][m=9]_GGACT,chr2,150453163,150453163,-,9,NA,"intron (NR_110240, intron 1 of 2)","intron (NR_110240, intron 1 of 2)",8833,NM_015702,27249,Hs.5324,NM_015702,ENSG00000168288,MMADHC,C2orf25|CL25022|cblD,"methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria",protein-coding
B045_1-4_chr3_f_c291[k=96][m=9]_GGACT,chr3,39453453,39453453,+,9,NA,TTS (NR_002324),TTS (NR_002324),908,NR_002324,6044,Hs.449909,NR_002324,SNORA62,E2|E2-1|RNE2|RNU108,"small nucleolar RNA, H/ACA box 62",snoRNA,
B045_1-4_chr11_f_c662[k=33][m=9]_GAACA,chr11,65270276,65270276,+,9,NA,"non-coding (NR_002819, exon 1 of 1)","non-coding (NR_002819, exon 1 of 1)",5043,NR_002819,378938,Hs.642877,XR_247199,ENSG00000251562,MALAT1,HCN|LINC00047|MALAT-1|NCRNA00047|NEAT2|PRO2853|mascRNA,metastasis associated lung adenocarcinoma transcript 1 (non-protein coding),ncRNA
B045_1-4_chr1_r_c1018[k=28][m=9]_GGACG,chr1,67880921,67880921,-,9,NA,"exon (NM_015640, exon 7 of 8)","exon (NM_015640, exon 7 of 8)",-15202,NM_001018069,26135,Hs.530412,NM_001018067,ENSG00000142864,SERBP1,CHD3IP|HABP4L|PAI-RBP1|PAIRBP1,SERPINE1 mRNA binding protein 1,protein-coding
B045_1-4_chr19_r_c1144[k=26][m=9]_GGACT,chr19,47567731,47567731,-,9,NA,"3' UTR (NM_015168, exon 15 of 15)","3' UTR (NM_015168, exon 15 of 15)",15849,NM_017854,54958,Hs.105606,XM_005259027,ENSG00000130748,TMEM160,0,transmembrane protein 160,protein-coding
